feature,role,source_table,feature_family,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,usable,reason
ecg_der__orthostatic_after__delta__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,3.9962603401368613,3.1039261490057344,4.740580129540701,6.217520919426701,-1.5080608851515336,18.79120945918305,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,456.4547371436345,241.20722863306867,562.5780423437193,649.8434199509363,-79.446724185823,1742.7727171300091,True,ok
ecg_der__orthostatic_after__ratio__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,5.564547371436346,3.4120722863306865,5.625780423437193,6.498434199509363,0.20553275814177,18.42772717130009,True,ok
ecg_der__training_response__delta__hrv_freq__HF_nu,input,ecg_derived,hrv_freq,22,21,0.9545454545454546,1,0.045454545454545456,21,-7.575558194124526,-8.703165413414489,18.786491266629678,32.09399486072961,-44.615465764557655,20.331764410585848,True,ok
ecg_der__training_response__percent_delta__hrv_freq__HF_nu,input,ecg_derived,hrv_freq,22,21,0.9545454545454546,1,0.045454545454545456,21,-4.076489125898332,-18.987487668226308,52.682371820094296,83.09667798191546,-75.76009760597125,103.70343739078112,True,ok
ecg_der__training_response__delta__hrv_freq__HF_peak_Hz,input,ecg_derived,hrv_freq,22,21,0.9545454545454546,1,0.045454545454545456,8,0.03571428571428571,0.0,0.0736438021710876,0.03125,-0.0625,0.1875,True,ok
ecg_der__training_response__percent_delta__hrv_freq__HF_peak_Hz,input,ecg_derived,hrv_freq,22,21,0.9545454545454546,1,0.045454545454545456,11,21.836814886831228,0.0,44.34104997647084,10.526315789473683,-18.181818181818183,110.0,True,ok
ecg_der__training_response__delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,21,0.9545454545454546,1,0.045454545454545456,21,-0.0002945486110103833,1.000690148350575e-06,0.0011501511458930369,0.0002037996227475,-0.0052492041593473,0.0002404136642295,True,ok
ecg_der__training_response__percent_delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,21,0.9545454545454546,1,0.045454545454545456,21,2.7421617559306406,1.0507149073544355,65.26711633376573,66.20401648962574,-98.13708634044588,152.45098523544047,True,ok
ecg_der__training_response__delta__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,22,21,0.9545454545454546,1,0.045454545454545456,21,0.43828002280658496,0.7900398451379465,2.1774188891222583,2.720763114047603,-5.219954883168747,5.307191432999657,True,ok
